11,0.15,0,1,5
11,0.95,9,8,2
11.75,0.55,2,2,1
10.25,0.55,5,5,5
1,0.35,2,1,2
8,0.15,0,0,2
3.25,0.75,1,3,1
11.75,0.55,9,2,5
4,0.95,2,1,1
10.5,0.75,5,0,0
9,0.55,5,7,1
4.5,0.35,6,1,1
5.5,0.75,2,0,0
0.5,0.55,0,0,1
2.5,0.55,1,2,1
8.5,0.55,1,0,4
12.5,0.95,0,6,2
7.25,0.75,3,2,4
11.75,0.15,0,3,0
2.25,0.35,2,2,3
8.25,0.35,8,7,4
4,0.95,3,2,1
6.5,0.95,7,1,4
11.5,0.55,1,5,7
4,0.95,0,2,0
2.25,0.75,0,0,1
12.5,0.35,0,3,3
3.25,0.15,3,0,1
5.25,0.55,6,0,0
9.25,0.35,6,7,5
8.25,0.55,6,5,4
9.25,0.35,8,5,1
4.75,0.55,1,0,0
4.25,0.35,2,4,4
2.5,0.95,0,1,2
6.5,0.55,0,0,1
0.5,0.15,0,1,1
1,0.15,3,1,2
12.25,0.35,0,1,0
3.75,0.35,6,2,1
6.5,0.95,0,3,0
11.5,0.75,5,8,2
0.25,0.55,0,1,1
9.75,0.15,8,0,4
9.25,0.75,7,3,0
3.75,0.95,0,3,0
4.75,0.95,5,3,4
7,0.55,3,6,1
1.5,0.75,2,1,1
5.5,0.75,2,3,3
8.5,0.55,0,5,4
8.5,0.75,0,3,4
4.75,0.95,0,0,3
10,0.55,7,0,0
12.25,0.75,2,1,0
4.75,0.55,7,3,3
11.5,0.35,5,5,2
5,0.95,3,0,0
6.25,0.35,8,0,3
8.5,0.15,2,3,1
11,0.75,6,5,3
3.25,0.15,3,0,0
3.5,0.55,2,3,3
7.75,0.55,1,4,3
2.5,0.75,1,3,3
3,0.35,5,3,3
11,0.55,7,8,2
2,0.95,2,2,0
7,0.55,6,4,1
10,0.95,2,4,0
5.25,0.35,2,0,0
11,0.15,1,4,0
11,0.75,0,2,0
5.5,0.75,4,3,2
4.5,0.55,2,4,2
3.25,0.35,4,3,0
9.75,0.55,3,4,4
1,0.75,2,1,1
3.5,0.95,5,0,2
8.5,0.95,6,2,6
9,0.15,0,0,2
11,0.75,6,4,3
10.75,0.35,0,0,6
4.75,0.35,5,0,1
4.25,0.15,0,3,0
6.25,0.55,8,0,1
4.75,0.15,3,1,3
9.5,0.35,5,0,4
1.5,0.15,1,2,1
6.75,0.95,0,5,4
11.25,0.35,2,1,0
10.5,0.75,2,8,4
12.25,0.95,3,6,4
3.75,0.15,5,4,3
10.75,0.15,0,2,0
10.75,0.35,2,0,0
5,0.55,1,4,0
6.25,0.55,6,2,5
0.5,0.95,2,1,2
2.75,0.55,5,1,3
11,0.35,5,6,7
9,0.15,4,5,6
8,0.95,5,1,0
12.25,0.35,0,3,0
2.75,0.75,5,2,1
